api_id,calendar_api_id,cover_url,end_at,event_type,hide_rsvp,location_type,name,one_to_one,recurrence_id,show_guest_list,start_at,timezone,url,user_api_id,visibility,waitlist_enabled,virtual_info,geo_longitude,geo_latitude,geo_address_info,geo_address_visibility,coordinate
evt-ZTa4VoyuRrCHeo3,cal-RLnA8FYtHoQ37hc,https://images.lumacdn.com/event-covers/5r/3e3ea492-254f-4598-8714-45260a6f3c91.png,2025-03-28T00:00:00.000Z,independent,False,offline,Healthtech Happy Hour,True,,True,2025-03-27T21:00:00.000Z,America/New_York,rhl94j7m,usr-KJzOHzi5JLgSbhV,public,True,{'has_access': False},-73.988638,40.734915,"{'city': 'New York', 'type': 'google', 'region': 'New York', 'address': 'The High Note', 'country': 'United States', 'latitude': '40.7349152', 'place_id': 'ChIJv1dySp9ZwokR9bIxCy6SMwY', 'longitude': '-73.98863779999999', 'city_state': 'New York, New York', 'description': '', 'country_code': 'US', 'full_address': 'The High Note, 119 E 15th St, New York, NY 10003, USA', 'apple_maps_place_id': 'I5B2D3E35F795BB8E', 'mode': 'shown'}",public,"{'latitude': 40.734915, 'longitude': -73.988638}"
evt-fDsGAAERWNNkUtB,cal-uZeBjyS9CoeLMTn,https://images.lumacdn.com/event-covers/jt/49c8021d-4180-43cd-9044-dd24ef7ab4f0.png,2025-03-28T01:00:00.000Z,independent,False,offline,Digital Assets Capital Markets Series,True,,True,2025-03-27T21:30:00.000Z,America/New_York,qg3or93n,usr-S5Nb5YGLwhHZ43F,public,False,{'has_access': False},-73.988863,40.733829,"{'city': 'New York', 'type': 'google', 'region': 'New York', 'address': 'Civic Hall', 'country': 'United States', 'place_id': 'ChIJPQ80o6NZwokRKswTHKBgQLo', 'city_state': 'New York, New York', 'description': '', 'country_code': 'US', 'full_address': 'Civic Hall, 124 E 14th St, New York, NY 10003, USA', 'apple_maps_place_id': 'IDC2EB86CB69A374A', 'mode': 'shown'}",public,"{'latitude': 40.733829, 'longitude': -73.988863}"
evt-m9w1nNMIYw3LVt9,cal-tU7E9XkY1rkGVBa,https://images.lumacdn.com/event-covers/fv/86b05bce-77ad-45fe-92a4-713b628b1c96.gif,2025-03-28T00:00:00.000Z,independent,False,offline,Break The Ice x Biotech,True,,True,2025-03-27T22:00:00.000Z,America/New_York,dqjrxb3m,usr-RpHlmW5Qb4M8uIC,public,True,{'has_access': False},-73.98750,40.77500,"{'mode': 'obfuscated', 'city_state': 'New York, New York'}",guests-only,"{'latitude': 40.775839, 'longitude': -73.987961}"
evt-mByArBZ9glIvMh3,cal-7d5Qk4R6FlKweUe,https://images.lumacdn.com/event-covers/gb/d38e0656-a44b-4837-833b-e594ef9abfef.png,2025-03-28T00:30:00.000Z,independent,False,offline,MCP Lightning Talks NYC,True,,True,2025-03-27T22:00:00.000Z,America/New_York,mcp-nyc,usr-BFGLcNMCURvjr3K,public,True,{'has_access': False},-73.989461,40.744902,"{'city': 'New York', 'type': 'google', 'region': 'New York', 'address': 'SignalFire', 'country': 'United States', 'latitude': '40.74490180000001', 'place_id': 'ChIJ8-SzrZ1ZwokRBxKQuhO8JlM', 'longitude': '-73.9894613', 'city_state': 'New York, New York', 'description': '', 'country_code': 'US', 'full_address': 'SignalFire, 31 W 27th St, New York, NY 10001, USA', 'mode': 'shown'}",public,"{'latitude': 40.744902, 'longitude': -73.989461}"
evt-IxhEHiwc7qhyB6E,cal-p4NbkfDF5Y1iUKD,https://images.lumacdn.com/event-covers/7l/3e43921f-ee0d-470e-8bca-ae1f920c1707.jpg,2025-03-28T00:00:00.000Z,independent,False,offline,"NYC Design Engineering Meetup: Q1, 2025",True,,True,2025-03-27T22:00:00.000Z,America/New_York,yntfb42s,usr-WuzVeejNjB04nRT,public,False,{'has_access': False},-74.006254,40.742324,"{'city': 'New York', 'type': 'google', 'region': 'New York', 'address': 'The Tippler', 'country': 'United States', 'latitude': '40.7423235', 'place_id': 'ChIJw2ZXYL9ZwokRZblZ0YKQ5QA', 'longitude': '-74.0062542', 'city_state': 'New York, New York', 'description': '', 'full_address': 'The Tippler, 425 W 15th St, New York, NY 10011, USA', 'apple_maps_place_id': 'ID1A2B17B2174BAAF', 'mode': 'shown'}",public,"{'latitude': 40.742324, 'longitude': -74.006254}"
evt-kj6z6I8bAjq7DFc,cal-XEYgCKGCOOWNleT,https://images.lumacdn.com/event-covers/45/9c13270a-c40e-4c68-acec-b182488951f0.jpg,2025-03-28T00:30:00.000Z,independent,False,offline,NYC Latinas Leading the Green Revolution!,True,,True,2025-03-27T22:00:00.000Z,America/New_York,03h4laci,usr-JD6wmHc3fPVuwDr,public,True,{'has_access': False},-73.98500,40.74250,"{'mode': 'obfuscated', 'city_state': 'New York, New York'}",guests-only,"{'latitude': 40.742953, 'longitude': -73.984683}"
evt-yhCq0KvMpBEK52d,cal-Ve0M7LoDOpdnF3z,https://images.lumacdn.com/event-covers/fc/59ad744c-6870-42ba-ac28-31999a6ff672.png,2025-03-28T00:00:00.000Z,independent,False,offline,"Rise of Growth Engineering with Profound, Modal Labs, Hebbia, Clay @ South Park Commons",True,,False,2025-03-27T22:00:00.000Z,America/New_York,engineering-demos-spc,usr-VPOChxgUvsrEjSA,public,False,{'has_access': False},-73.99250,40.72750,"{'mode': 'obfuscated', 'city_state': 'New York, New York'}",guests-only,"{'latitude': 40.728329, 'longitude': -73.991589}"
evt-JEIsB2fKObQFYR5,cal-sHWMt96AHAYzCyD,https://images.lumacdn.com/event-covers/li/32d3392e-3021-4ae0-bac7-bbfae38893e8.jpg,2025-03-28T00:30:00.000Z,independent,False,offline,🗽🍻 March Happy Hour with fellow Designers 🤩🥂,True,,True,2025-03-27T22:30:00.000Z,America/New_York,1c0gzfd1,usr-pSslgQmCQSFOP8Z,public,False,{'has_access': False},-73.982157,40.679801,"{'city': 'Kings County', 'type': 'google', 'region': 'New York', 'address': 'Threes Brewing', 'country': 'United States', 'place_id': 'ChIJ__u3R6tbwokRYMOym8O83H0', 'city_state': 'Kings County, New York', 'description': '', 'country_code': 'US', 'full_address': 'Threes Brewing, 333 Douglass St, Brooklyn, NY 11217, USA', 'apple_maps_place_id': 'I2E0DEE734C95E44F', 'mode': 'shown'}",public,"{'latitude': 40.679801, 'longitude': -73.982157}"
evt-ZIxvapGYI1ehLM8,cal-kcWhMbIs2X0Y2Xb,https://images.lumacdn.com/event-covers/1i/25553093-9192-4875-91a3-023dfb9410be.png,2025-03-28T01:00:00.000Z,independent,False,offline,Startup Tech Mixer (Hosted by Intercom & Andrew Yeung),True,,False,2025-03-27T22:30:00.000Z,America/New_York,intercommixer,usr-DWfcHYvEcII5W5R,public,True,{'has_access': False},-73.99000,40.71750,"{'mode': 'obfuscated', 'city_state': 'New York, New York'}",guests-only,"{'latitude': 40.7184, 'longitude': -73.988971}"
evt-JhIUCNS7ukhzLY4,cal-33CjPeMimmVQSaq,https://images.lumacdn.com/event-covers/p8/cf01eb6a-7e00-4e70-8ff5-31de5a3ece13.png,2025-03-28T01:00:00.000Z,independent,False,offline,amato at roome: collection I,True,,True,2025-03-27T23:00:00.000Z,America/New_York,bee11pn7,usr-8eByLuPBCJndfm8,public,True,{'has_access': False},-73.990329,40.717253,"{'city': 'New York', 'type': 'google', 'region': 'New York', 'address': 'ROOME', 'country': 'United States', 'place_id': 'ChIJKXK8ypBZwokR9VsP07v3jZA', 'city_state': 'New York, New York', 'description': '', 'country_code': 'US', 'full_address': 'ROOME, 324 Grand St, New York, NY 10002, USA', 'mode': 'shown'}",public,"{'latitude': 40.717253, 'longitude': -73.990329}"
