Event Name,Start Time,Address,Host,Url
New York Tech Career Fair: Exclusive Tech Hiring Event,2025-05-30 12:00,"Online, New York, NY, US",Tech Career Fair,https://www.eventbrite.com/e/new-york-tech-career-fair-exclusive-tech-hiring-event-tickets-146584912419
#ProductCon New York: The Conference for Product Leaders,2025-05-21 09:00,"125 W 18th St, New York City, NY, US",Product School,https://www.eventbrite.com/e/productcon-new-york-the-conference-for-product-leaders-tickets-990345067757
Space Tech Summit,2025-11-20 10:00,"Virtual, New York, NY, US",Global Startup Ecosystem,https://www.eventbrite.com/e/space-tech-summit-tickets-69881985901
Everyone Free Sky high Saturdays At Sky Bar Roof Top,2025-05-24 22:00,"45-06 pearson st, Queens, NY, US",City Elite Group,https://www.eventbrite.com/e/everyone-free-sky-high-saturdays-at-sky-bar-roof-top-tickets-1041418650217
Marian Rojas Estapé signing  @ B&N 5th Ave NYC!,2025-05-21 12:00,"555 Fifth Avenue, New York, NY, US",Barnes & Noble Fifth Avenue,https://www.eventbrite.com/e/marian-rojas-estape-signing-bn-5th-ave-nyc-tickets-1251467977409
Rachel Gillig discusses THE KNIGHT AND THE MOTH at B&N Union Square,2025-05-21 18:00,"33 East 17th Street, New York, NY, US",Barnes & Noble - Union Square,https://www.eventbrite.com/e/rachel-gillig-discusses-the-knight-and-the-moth-at-bn-union-square-tickets-1263107611869
AfroCode NYC Memorial Day Sunday Day Party [Sun May 25],2025-05-25 16:00,"621 West 46th Street, New York, NY, US",@AfroCode_ | AfroCode Nation,https://www.eventbrite.com/e/afrocode-nyc-memorial-day-sunday-day-party-sun-may-25-tickets-1281149495629
2025 Prospect Park Soiree,2025-06-21 17:00,"1 Wellhouse Drive, Brooklyn, NY, US",Prospect Park Alliance,https://www.eventbrite.com/e/2025-prospect-park-soiree-tickets-1261603643459
Rosé N' Roses Brooklyn,2025-06-21 15:00,"145 Brooklyn Avenue, Brooklyn, NY, US",Rosé N' Roses Events,https://www.eventbrite.com/e/rose-n-roses-brooklyn-tickets-1079992138559
Long Island Career Fair,2025-06-24 09:30,"Street, Queens, NY, US",Career Fair Connection,https://www.eventbrite.com/e/long-island-career-fair-tickets-1115001502509
ValeVibe New York - a FOOD INCLUSIVE party,2025-06-28 10:00,"78 South Street, New York, NY, US",ValeVibe,https://www.eventbrite.com/e/valevibe-new-york-a-food-inclusive-party-tickets-1302206347239
TEQUILA FEST NEW YORK CITY 2025,2025-07-19 15:00,"518 Gardner ave, Brooklyn, NY, US",City Elite Group,https://www.eventbrite.com/e/tequila-fest-new-york-city-2025-tickets-1225649824619
Drinks and Links Thursdays At MAMA TACO Everyone Free + Happy Hour Specials,2025-05-22 17:00,"880 Flushing Avenue, Brooklyn, NY, US",JiggyTime Ent,https://www.eventbrite.com/e/drinks-and-links-thursdays-at-mama-taco-everyone-free-happy-hour-specials-tickets-1202782658309
UJC Summit 2025,2025-05-30 09:00,"545 West 30th Street, New York, NY, US",United Justice Coalition,https://www.eventbrite.com/e/ujc-summit-2025-tickets-1227003463389
New York City Career Fair,2025-07-25 09:30,"Manhattan, New York, NY, US",Career Fair Connection,https://www.eventbrite.com/e/new-york-city-career-fair-tickets-497852368837
The Creativity Conference - NYC 2025,2025-06-19 09:00,"300 Lafayette Street, New York, NY, US",Creativity Conference Ltd,https://www.eventbrite.co.uk/e/the-creativity-conference-nyc-2025-tickets-1298217436299
"Osseointegration for Amputees: Prosthetics, Rehabilitation, and Surgery",2025-05-30 08:15,"535 East 70th Street, New York, NY, US",HSS Office of Continuing Medical Education and HSS eAcademy®,https://www.eventbrite.com/e/osseointegration-for-amputees-prosthetics-rehabilitation-and-surgery-registration-1227018769169
NEW YORK In Person (IP) Diversity Employment Day Career Fair  05/22/2025,2025-05-22 11:00,"338 West 36th Street, New York, NY, US",CITY CAREER FAIR / Community Employment Day,https://www.eventbrite.com/e/new-york-in-person-ip-diversity-employment-day-career-fair-05222025-tickets-925599873137
IronStrength Downtown Morning Workout for Global Running Day with ASICS,2025-06-04 06:30,"420 West 14th Street, New York, NY, US",Dr. Jordan Metzl,https://www.eventbrite.com/e/ironstrength-downtown-morning-workout-for-global-running-day-with-asics-tickets-1312130550799
Her Conference 2025,2025-06-14 09:00,"641 West 42nd Street, New York, NY, US",Her Campus,https://www.eventbrite.com/e/her-conference-2025-tickets-1262525801659
Ashley Poston discusses & signs SOUNDS LIKE LOVE at B&N Union Square,2025-06-21 18:00,"33 East 17th Street, New York, NY, US",Barnes & Noble - Union Square,https://www.eventbrite.com/e/ashley-poston-discusses-signs-sounds-like-love-at-bn-union-square-tickets-1298590562329
"Christopher Owens, Sean Nicholas Savage",2025-05-29 19:00,"599 Johnson Avenue, Brooklyn, NY, US",Elsewhere,https://www.eventbrite.com/e/christopher-owens-sean-nicholas-savage-tickets-1269385679739
"2025  New York City Bus Trip Departing *Hampton, Va",2025-06-21 01:00,"West 34th Street, New York, NY, US","Freedom Tours Coach Line, Inc",https://www.eventbrite.com/e/2025-new-york-city-bus-trip-departing-hampton-va-tickets-1218715604179
Yoga Under the 59th Street Bridge with Esplanade Friends!,2025-05-21 18:30,"FDR Drive, New York, NY, US",Dr. Jordan Metzl,https://www.eventbrite.com/e/yoga-under-the-59th-street-bridge-with-esplanade-friends-tickets-1312127130569
QUEER GARDEN NYC PRIDE 2025,2025-06-29 14:00,"48 Cypress Avenue, Brooklyn, NY, US",Whitney Day Events,https://www.eventbrite.com/e/queer-garden-nyc-pride-2025-tickets-1314422917329
Rusowsky,2025-06-06 19:00,"599 Johnson Avenue, Brooklyn, NY, US",Elsewhere,https://www.eventbrite.com/e/rusowsky-tickets-1296236471179
Vibes Under The Sun Concert,2025-06-28 14:00,"38 West 39th Street, New York, NY, US",Rap King Nation Records,https://www.eventbrite.com/e/vibes-under-the-sun-concert-tickets-1106372894109
Shhh IN FULL BLOOM,2025-05-26 14:00,"1368 Fulton Street, Brooklyn, NY, US",NATALIE EVENTS,https://www.eventbrite.com/e/shhh-in-full-bloom-tickets-1135122545089
"Clipping., Counterfeit Madison, Fatboi Sharif",2025-08-14 19:00,"599 Johnson Avenue, Brooklyn, NY, US",Elsewhere,https://www.eventbrite.com/e/clipping-counterfeit-madison-fatboi-sharif-tickets-1242451789749
