Name,Start Time,Address,Capacity,Hosts,Url
Founder’s Cohort - Monday Sprint Kickoff + Coworking,2025-05-19T13:00:25+00:00,,20,Patrick Hwang,https://www.supermomos.com/socials/founder-cohort-monday-sprint
May Series A+ Private Founders Dinner in NYC feat. GP at Union Square Ventures Rebecca Kaden,2025-05-19T22:00:00+00:00,,20,"Joanne Hu, Edwina Yeo",https://www.supermomos.com/socials/april-series-a-private
"Art, Entrepreneurship & the AI Horizon in XR",2025-05-20T22:00:00+00:00,"106 W 32nd St, New York, NY 10001, USA",50,Joshua Ness,https://www.supermomos.com/socials/art-entrepreneurship-ai-horizon
Super Diners Club: Curated Dinner with Strangers on May 20! Members only - $24.99/month if you are approved,2025-05-20T22:30:00+00:00,,50,"Joanne Hu, Kaizhong Zheng, Edwina Yeo",https://www.supermomos.com/socials/super-diners-club-curated-4a256b
Career Catalysts: Lessons from Asia’s Leaders,2025-05-21T22:30:00+00:00,,45,"Elaine Truong, Cheryl Lee, Jia Chuan Kwok, Cheryl Lee",https://www.supermomos.com/socials/career-catalysts-lessons-asia
Hudson Fintech Connect,2025-05-21T23:00:00+00:00,,30,Mohit Tripathi,https://www.supermomos.com/socials/hudson-fintech-connect
Barbara Demick's Daughters of the Bamboo Grove Book Launch with Emily Feng,2025-05-22T22:30:00+00:00,"725 Park Ave, New York, NY 10021, USA",40,John Hwang,https://www.supermomos.com/socials/barbara-demick-daughters-bamboo
May Founders & VCs Masterclass & Mixer feat. Principal at BBG Ventures and Co-Founder at Evereden (~$35M raised),2025-05-22T22:30:00+00:00,,75,"Joanne Hu, Edwina Yeo",https://www.supermomos.com/socials/may-founders-vcs-masterclass
What Is the Cost to Global Science? U.S.-China Relations and the Future of Innovation,2025-05-23T13:00:00+00:00,"725 Park Ave, New York, NY 10021, USA",30,John Hwang,https://www.supermomos.com/socials/cost-global-science-u-s-china
From Sea to SEA: The NYC Southeast Asian Festival,2025-05-24T17:00:00+00:00,,100,"Christopher Lai, Alisha Outridge, Sonny Tieu",https://www.supermomos.com/socials/sea-sea-nyc-southeast
May Private Founders Breakfast in NYC feat. Partner at SOSV ($1.5B AUM) and CEO of AIRS Medical (~$45M raised),2025-05-27T12:30:00+00:00,,35,"Joanne Hu, Edwina Yeo",https://www.supermomos.com/socials/private-founders-breakfast-nyc
B2B GTM Dinner & Hangout,2025-05-27T23:00:00+00:00,,15,"Edwina Yeo, Rovik Jeremiah Robert",https://www.supermomos.com/socials/b2b-gtm-dinner-hangout
Navigating Career Transitions with Confidence,2025-05-28T22:00:00+00:00,,35,"Elaine Truong, Jia Chuan Kwok, Cheryl Lee, Jenny Fan",https://www.supermomos.com/socials/career-transitions-confidence
"Supermomos Dinner, Drinks, and Live Music",2025-05-28T23:00:00+00:00,"44 E 32nd St, New York, NY 10016, USA",20,"Joanne Hu, Edwina Yeo",https://www.supermomos.com/socials/supermomos-dinner-drinks-live
Private C-Suite & Heads/VPs/Directors of Engineering Dinner,2025-05-29T22:00:00+00:00,,23,"Joanne Hu, Kaizhong Zheng, Edwina Yeo",https://www.supermomos.com/socials/april-private-engineering-leadership
Founder Drinks Roundtable,2025-05-30T21:00:00+00:00,"125 E 15th St, New York, NY 10003, USA",50,Joshua Ness,https://www.supermomos.com/socials/founder-roundtable-9f3a6f
🥢 Fried Rice King Launch Party: A (Fashionably Late) AAPI Heritage Month Lunch — All Are Welcome! 🥢,2025-06-01T16:00:00+00:00,,20,"Edwina Yeo, Alan Choong, Cheryl Lee",https://www.supermomos.com/socials/fried-rice-king
Startup World Cup at #NYTechWeek,2025-06-04T20:30:00+00:00,"250 W 55th St, New York, NY 10019, USA",100,Joshua Ness,https://www.supermomos.com/socials/startup-world-cup
"Unicorn Edition - June Private Founders Dinner in NYC, co-hosted with AlleyCorp, Alpha Square Group ($1B+ Single Family Office)",2025-06-05T22:00:00+00:00,,20,"Joanne Hu, Edwina Yeo",https://www.supermomos.com/socials/unicorn-edition-june-private
Super Diners Club: Curated Dinner with Strangers on June 5! Members only - $24.99/month if you are approved,2025-06-05T22:30:00+00:00,,50,"Joanne Hu, Edwina Yeo, Kaizhong Zheng",https://www.supermomos.com/socials/super-diners-club-curated-7919fb
Pitches and Pints: Startup Demo Showcase,2025-06-17T21:30:00+00:00,"106 W 32nd St, New York, NY 10001, USA",25,Joshua Ness,https://www.supermomos.com/socials/pitches-pints-startup-demo-e91cba
Super Diners Club: Curated Dinner with Strangers on June 20! Members only - $24.99/month if you are approved,2025-06-20T22:30:00+00:00,,50,"Joanne Hu, Edwina Yeo, Kaizhong Zheng",https://www.supermomos.com/socials/super-diners-club-curated-b9336e
Super Diners Club: Curated Dinner with Strangers on July 3! Members only - $24.99/month if you are approved,2025-07-04T01:30:00+00:00,,50,"Joanne Hu, Kaizhong Zheng, Edwina Yeo",https://www.supermomos.com/socials/super-diners-club-curated-81e578
Super Diners Club: Curated Dinner with Strangers on July 22! Members only - $24.99/month if you are approved,2025-07-23T01:30:00+00:00,,50,"Joanne Hu, Kaizhong Zheng, Edwina Yeo",https://www.supermomos.com/socials/super-diners-club-curated-7c7947
