Event Name,Start Time,Address,Guest Count,Hosts,Url,Description
Brunch and Chill: Make New Friends NYC,2025-05-04T12:30:00-04:00,Secretville,315,Eli K.,https://www.meetup.com/make-new-friends-nyc/events/305115431/,"**Please complete your registration on this [website](https://groupvibe.com/) if you want to participate. Location will only be shared with those who have completed their registration and bought a ticket. Note that this event listing on Meetup.com is a placeholder, and the RSVP count shown does not reflect the actual number of attendees.**

**Make New Friends in NYC with Groupvibe**
Making new friends isn't easy. Countless apps promise a lot, but rarely deliver. Groupvibe pairs you with a group of 4 to 6 like-minded people to meet in a restaurant or cafe. No swiping, chatting, or planning. All you have to do is sign up, pick a day, and meet them!

**Meet like-minded people**
We carefully match you with a group of peers who share your interests and lifestyle, ensuring you’ll have a great time getting to know each other in person.

**Effortless**
Groupvibe handles all the details so you can focus on what truly matters: forming genuine connections in a relaxed setting. All you have to do is show up and be yourself.

**Sign up now!**
More than 2000 people have used Groupvibe to make friends and meet people IRL, and countless new friendships have started after just a simple brunch, dinner, or coffee.

*Sign up here if you want to participate: [https://groupvibe.com/](https://groupvibe.com/)*

***Testimonials***
""I was able to meet people I wouldn't normally come across in my study/work. They arrange a fun environment to build connections.""
\- Anurag\, 30 years old

""Loved the way the meetup was set up, from location to choice of number of people in a group. The icebreakers were quite helpful to keep the conversations interesting, and above all the interests of people in the group were quite similar so we had a great laugh :)""
\- Anna\, 28 years old

To learn more, also see our Instagram page: [https://www.instagram.com/groupvibe.co/](https://www.instagram.com/groupvibe.co/)

**Please complete your registration on this [website](https://groupvibe.com/) if you want to participate. Location will only be shared with those who have completed their registration and bought a ticket.**"
"Quantum Reality Explained: A Learning Session for Anyone (by a Non-Scientist)
",2025-04-30T19:00:00-04:00,,297,Andrea,https://www.meetup.com/exploring-consciousness-reality-a-meetup-for-open-minds/events/307040738/,"**Please read revised description!**

How did we get from “objects fall when you drop them” to “top scientists say we might be living in a computer simulation”? From “living things are made of cells” to “there may be copies of us living in different worlds?”

This session is for anyone curious about the true nature of the universe, the mysteries of consciousness, and the possibility that reality is more than it seems.

We’ll trace a handful of fundamental milestones that have reshaped our understanding of reality over the past few centuries. We’ll also explore key ideas from quantum physics—such as wavefunction collapse, entanglement, and the observer effect—and delve into emerging theories about the role of perception and awareness in shaping what we experience as real. This overview isn’t exhaustive—just a taste—but it’s enough to get your mental gears turning.

**This is not an academic lecture. I don’t have a background in physics or philosophy, and I’m not a scientist.** But I am a licensed clinical social worker with professional experience in the assessment and diagnosis of mental disorders. I’ve worked with a wide spectrum of client behaviors and experiences—including psychotic symptoms like hallucinations and delusions, as well as complex substance use—which has deeply informed how I think about consciousness, perception, and what we call “reality.” That work shaped my fascination with how sensory experience, belief, and brain function intersect with the larger fabric of existence.

Presentation will run about 60 minutes, followed by open discussion.z"
Brunch and Chill: Make New Friends NYC ,2025-04-27T12:30:00-04:00,Shhh,206,Eli K.,https://www.meetup.com/make-new-friends-nyc/events/305734780/,"**Please complete your registration on this [website](https://groupvibe.com/) if you want to participate. Location will only be shared with those who have completed their registration and bought a ticket. Note that this event listing on Meetup.com is a placeholder, and the RSVP count shown does not reflect the actual number of attendees.**

**Make New Friends in NYC with Groupvibe**
Making new friends isn't easy. Countless apps promise a lot, but rarely deliver. Groupvibe pairs you with a group of 4 to 6 like-minded people to meet in a restaurant or cafe. No swiping, chatting, or planning. All you have to do is sign up, pick a day, and meet them!

**Meet like-minded people**
We carefully match you with a group of peers who share your interests and lifestyle, ensuring you’ll have a great time getting to know each other in person.

**Effortless**
Groupvibe handles all the details so you can focus on what truly matters: forming genuine connections in a relaxed setting. All you have to do is show up and be yourself.

**Sign up now!**
More than 2000 people have used Groupvibe to make friends and meet people IRL, and countless new friendships have started after just a simple brunch, dinner, or coffee.

*Sign up here if you want to participate: [https://groupvibe.com/](https://groupvibe.com/)*

***Testimonials***
""I was able to meet people I wouldn't normally come across in my study/work. They arrange a fun environment to build connections.""
\- Anurag\, 30 years old

""Loved the way the meetup was set up, from location to choice of number of people in a group. The icebreakers were quite helpful to keep the conversations interesting, and above all the interests of people in the group were quite similar so we had a great laugh :)""
\- Anna\, 28 years old

To learn more, also see our Instagram page: [https://www.instagram.com/groupvibe.co/](https://www.instagram.com/groupvibe.co/)

**Please complete your registration on this [website](https://groupvibe.com/) if you want to participate. Location will only be shared with those who have completed their registration and bought a ticket.**"
AI/ML Conversations Meetup: TBD,2025-05-13T17:30:00-04:00,11 W 19th St,110,"Anna Leonenko, Ian Howe, Koen, Vlad Eremin",https://www.meetup.com/new-york-ai-ml-conversations/events/306214326/,"Agenda:
5:30PM Doors open
5:30PM - 6:15PM Reception, networking
6:00PM - 8:00PM Speaker Presentations
8:00PM - 8:30PM Further Networking & get-together in the nearby bar.

!!! IMPORTANT !!!
\- Please provide your full legal name at the time of RSVP\, as it is necessary to enter the building and please ensure to bring a valid photo ID\.

This event is hosted at the Capital One Office! Enter through 11 W 19th Street main entrance. Show your photo ID at the front desk and proceed to the 3rd floor."
DigitalOcean AI Meetup - New York,2025-05-09T16:30:00-04:00,101 Ave Of The Americas,209,DigitalOcean,https://www.meetup.com/digitalocean-newyork/events/307182457/,"Join us for an exciting **DigitalOcean NYC Meetup**, where experts will dive into cutting-edge topics shaping the future of cloud and AI/ML. Whether you're an AI enthusiast, a Kubernetes pro, or a cloud infrastructure architect, this event offers valuable insights and hands-on knowledge from seasoned professionals.

Learn about **Model Context Protocol** along with **using Gen AI as your coding co-pilot** among other topics. These sessions are designed to equip you with practical strategies to enhance your projects and optimize cloud performance.

Connect with fellow developers, exchange ideas, and gain actionable insights to take your skills to the next level. Whether you're building AI models, optimizing cloud networks, or scaling infrastructure, this event is designed to fuel innovation and foster a thriving tech community.

**Speakers & Sessions:**

* **Amit Jotwani** – Senior Developer Advocate II \| DigitalOcean \| [LinkedIn](https://www.linkedin.com/in/ajotwani/) \| **Session:** Model Context Protocol
* **Jason Torres** – Community Specialist at Torc \| [LinkedIn](https://www.linkedin.com/in/thejasontorres/) \| **Session:** GenAI as your coding copilot

The event will conclude with networking over snacks. RSVP to reserve your spot.

*(Note: This is a first come first served meetup and will adhere to the venue constraints on the day of. DigitalOcean will be taking pictures during the event and it will be posted on DigitalOcean social channels. By attending you are giving consent to be featured in them)*"
NYC Code and Coffee 72 at Fractal Tech Hub: Williamsburg,2025-04-27T14:00:00-04:00,"111 Conselyea St Floor 2, Brooklyn, NY 11211",120,"Steven Gittens, Rowan",https://www.meetup.com/new-york-code-coffee/events/307286430/,"[Code and Coffee](https://www.linkedin.com/company/ny-code-coffee/) is an inclusive, informal co-working session. People of all skill levels attend, and we love it that way. Many people (optionally) bring projects to work on, and many other people (optionally) socialize the entire time. It's entirely up to you!

**The Intro Circle**
**Near the beginning of the event (2:30 pm), we do a standup in a circle:**

* We first share organizer announcements, updates, and logistics

**Introductions (7 secs max):**

* Your name
* Tech/coding topic(s) you want to talk about
* Non-tech topic(s) you want to talk about
* Job **opportunities you're hiring for OR announce that you are looking for one**. If none, that's cool.

*After the introduction circle, everything is self-organized. We sometimes have FEATURES in a nearby room; check out those events on Meetup as well.*
Doors close at 4:00pm. Please keep us updated in the comments if you're intending to show up late, as we want to ensure our venue hosts are able to clean up in time to get out by 5pm and enjoy their weekends.

**🧑‍🤝‍🧑 Community Discord - come hang out before and after!:**
[www.codeandcoffee.chat](http://www.codeandcoffee.chat)
**Our Venue and Coffee Sponsor**
Fractal Tech is a meeting place in the heart of Williamsburg for startup founders and engineers to do their most ambitious work. We offer daily events, a startup engineer accelerator, and 24/7 coworking access. Find out more at [http://fractaltechhub.com/](http://fractaltechhub.com/).
\*\*\*"
Product Led Strategy: The Importance of Outcome-Driven Thinking,2025-04-29T18:00:00-04:00,"20 W 34th St., New York, NY 10001, United States",86,"Rory Madden, Ryan",https://www.meetup.com/uxdx-new-york/events/307209470/,"**IMPORTANT NOTE - Event registration must be completed** [HERE](https://uxdx.com/community/community-NewYork-2025-04-29/) **on the UXDX website.**
We'll be hosting this event in Priceline's iconic offices, The Empire State Building. For security measures, every attendee must register their attendance on the UXDX website above.

**SCHEDULE:**
**6:15 - 6:55:** Registration & Networking
**6:50 - 7:00:** Welcome talk from our ambassador: [Ryan Leffel](https://www.linkedin.com/in/rleffel/), VP, Head of Design at Priceline.

**7:00 - 7:30**
**[Rebecca Radparvar](https://www.linkedin.com/in/rebeccaraha/), Staff Design Strategist, MongoDB**
*""**Product Success: Navigating the challenges and opportunities in implementing our organization’s first, and cross-disciplinary, Design-Strategy-Led Initiative**""*

In this session, [Rebecca Radparvar](https://www.linkedin.com/in/rebeccaraha/), focuses on the challenges and opportunities emerging from running her organization’s first design(-strategy)-led initiative and how the team did so across 3 core design disciplines (Design Strategy, Product Design, and Design Systems) to deliver both strategic and tactical design deliverables to execute a composable and sustainable navigation design and information architecture.

She will focus on MongoDB process and respective learnings, particularly how these learnings can be applied to future design and design-strategy driven initiatives, while also highlighting emergent organization challenges that illuminate design’s unique opportunity for driving impact, underscoring how to not only take a seat at the table, but earn the seat at the head when design is uniquely positioned to drive product strategy and delivery.

**7:30 - 8:10:**
**[Seth Carpien](https://www.linkedin.com/in/sethcarpien/), Chief Growth Officer, Tricon InfoTech**
*""**Design for Impact, Not Hype""***

In an era where the ""next new thing"" constantly vies for our attention, it's easy to get swept up in the hype and lose sight of what truly matters when building products. Having worked as a product leader in healthcare and logistics, Seth Carpien is able to draw on his first-hand experience and provide real-world examples.

This talk will challenge you to push back against leadership - or if you are a leader, to take a step back from the allure of the latest sexy technology. It's time to focus on the importance of strategic product thinking and outcome-driven initiatives over the allure of the latest technology trends.

**8:10 - 8:20:** Closing thoughts by our UXDX Ambassador **Ryan Leffel.**

**8:20 - 9:00:** Networking & Idea Sharing.

Thank you to [Priceline,](https://www.linkedin.com/company/priceline-com/) as always, for supporting our New York events.
See you there, New York!"
"Upper East Side History, Architecture and Art Tour: The Gilded Age Revisted ",2025-04-26T13:00:00-04:00,Corner of 90th Street and 5th Ave,30,Hank Orenstein,https://www.meetup.com/exploring-nyc-history-and-neighborhoods/events/305163774/,"**Note that the tour scheduled for Saturday, April 5th is rescheduled for Saturday, April 26th and and I am also offering a repeat on Friday, April 25th.**

**Cost**: This tour is free with a voluntary donation to your guide/organizer at the end via cash, Venmo or Zelle.

**Overview**
This tour we will indulge in the East 80's between 5th Avenue and Park Avenue and the residential architecture of the gilded age which consists of mansions and elegant townhouses. We'll cover the history of this area and how and why it developed as an enclave for NYC's wealthy elite.

Starting out at the garden of the Cooper Hewitt museum, which was originally the mansion home of Andrew and Louise Carnegie, we'll visit several local art galleries (TBD) during our journey, along with several other indoor locations with spectacular architecture.

**Restrooms before the tour: Tarulucci e Vino Cafe at the Cooper Hewitt Museum.** You can enter the cafe via the garden without having to pay admission to the museum. There is a quick bag inspection by a security guard. There are also public restrooms at the Episcopal Church of the Heavenly Rest across the street from the garden at 90th Street & 5th Avenue. Once inside the church veer immediately to your right (one stall).
**Other nearby options: The Jewish Museum up at 92nd Street & 5th Avenue has free admission on Saturday. Met Museum pay what you wish for NY residents. And of course any of the other local museums - Guggenheim, Neue Gallery (admission charge).**

We'll have a break and restrooms in Central Park or depending on time at the Met Museum's education entrance.

**Tour ends at 76th Street & Madison Avenue** or thereabouts.

Your organizer and guide,

Hank Orenstein
hankorenstein@gmail.com
646-596-3005

(photo: James B. Duke House, 1 East 78th Street, now NYU's Institute for the Fine Arts). Courtesy of bigoldhouses.blogspot.com"
Championing Accessibility: Technical and Non-Technical Tips,2025-05-08T19:30:00-04:00,72 Spring St,135,"Ben Ogilvie, Cameron Cundiff, Thomas Logan",https://www.meetup.com/a11ynyc/events/306807093/,"This event will be online and in-person. **The speaker and [YouTube live stream](https://youtu.be/NG5HxfuXL4w) starts at 7:30 pm ET**. In-person attendees may arrive as early as 7 pm ET.

**Important note**
Google Maps currently incorrectly pins the location around the corner on Crosby Street. The entrance is not on Crosby. The entrance is on Spring Street, inside the Marc Jacobs International building. It is roughly halfway between Crosby and Lafayette, almost directly across Spring Street from the Chipotle restaurant.

**Description**
Whether you are a product manager, engineer, or QA, change happens when people make it happen.

In this session, Asha Sachdeva and Kai Wong from Teladoc Health's Accessibility team will motivate you to champion digital accessibility through personal commitment, strategic action, and tools — no fancy job title needed. Discover practical strategies, including engineering-specific tips, to make a meaningful impact on accessibility within your team or organization.

Attendees will:

* Learn ways to build a network and gain credibility as an influential accessibility champion in tech.
* Gain technical and non-technical tips on driving accessibility change in your work and teams.
* Get motivated to integrate accessibility in software development.

**Presenter bio**
[Kai Wong](https://www.linkedin.com/in/kwong4a11y/) (she/they), believes in the transformative power of accessible technology for a better world. At Teladoc Health, the global leader in health and whole person care, Kai is a Principal of Digital Accessibility, founder of Accessibility Champions for Change, and serves on the leadership board for their disability-focused Business Resource Group (BRG).

They are an inventor of a U.S. patent pending, a recipient of the 2021 DC FemTech Award, and hold certifications in accessibility, health education, and quality assurance. Dubbed a presenter who “could make stale bread interesting,” Kai's strategy for advancing accessibility is simple: make it fun and inspire action.

[Asha Sachdeva](https://www.linkedin.com/in/asha-sachdeva-9505681b/) is a seasoned senior manager of engineering with a specialization in accessibility, bringing over two decades of experience in leading cross-functional engineering teams to deliver high-quality, accessible, and user-centric digital products. With a strong passion for creating technology that empowers individuals of all abilities, Asha operates at the intersection of technical innovation and social responsibility.

Sasha leads a team of engineers and accessibility experts in developing solutions that adhere to accessibility standards such as WCAG, Section 508, and ADA. Sacha collaborates closely with product, design, and QA teams to integrate accessibility across every phase of the product development lifecycle, from ideation through to implementation and testing. Sacha has a Master’s degree in Computer Science.

**Accessibility**
The presentation will have human captions [CC], not automatic captions. There will be an ASL interpreter.

For Aira Visual Interpreter access for the Blind and Low Vision community, download the Aira Explorer app on the [Apple App Store](https://apps.apple.com/us/app/aira-explorer/id1590186766) or [Google Play](https://play.google.com/store/apps/details?id=io.aira.explorer&hl=en-US). For access in the physical space, the A11yNYC geofence should apply automatically.

To access the online webinar for audio description, use the A11yNYC Access Offer to call, or simply inform your Visual Interpreter that you'd like that offer applied when you connect.

Please let us know about any other accessibility requirements two weeks before the event.

**Livestream**
[YouTube link](https://youtu.be/NG5HxfuXL4w)

Provided by Internet Society Accessibility SIG.

**Location details**
The event is on the 4th floor. Everyone must be accompanied to the event on the 4th floor. Because everyone needs to be escorted, please arrive early or on time. When you enter the ground floor, a representative from A11yNYC will be there to provide elevator access.

Attendees can enter on the third floor and go up the staircase, or request accommodation to go directly to the 4th floor. Thanks to Ben Ogilvie for making this possible! [Let us know](https://www.meetup.com/A11yNYC) if you're coming!

The building is near several transit stops:

6 train

* Spring Street (non-accessible stop): 100 feet
* Canal Street (accessible stop): 0.4 miles

NQRW trains

* Prince Street (non-accessible stop): 0.2 miles
* Canal Street (accessible stop): 0.3 miles

M1 / M55 Bus lines

* Broadway/Spring Street stop: 500 feet

Cabs and rideshares can let passengers out right near the building entrance

**Accreditation**
All A11yNYC meetups are pre-approved for IAAP Continuing Accessibility Education Credits (CAEC).

**Sponsors**
Thanks to [AKQA](https://www.akqa.com/), [Deque](https://www.deque.com/), [Evinced](https://www.evinced.com/), [Equal Entry](https://equalentry.com/), and [Fable](https://makeitfable.com/) for sponsoring. Want to be a sponsor? Contact meryl@equalentry.com"
NY Professionals Happy Hour,2025-05-01T19:00:00-04:00,411 3rd Ave,100,Nico D,https://www.meetup.com/ny-young-professionals/events/307088931/,"Meet new people and/or old friends at *Bella Union* https://www.bellaunionnyc.com/

*Bella Union* is an upscale American Saloon, it's a great space for dining and drinking! It also has a ***rooftop*** with a view of the Empire State Building and the Chrysler Building!

**Join us and make new friends!**

Event is free to attend: no cover, no drink minimum.

PS: Please sign up only if you plan on attending. #noflakes

Appropriate profile photo is mandatory."
